data,index,count,bow,tfidf,lstm,gru
my evening was fine just watched a little tv then went to sleep before pm it was nice to get that much sleep i feel really good today i would have loved to been at foleys with you last nite sounds like a lot of fun hello how are you i had a good time last night it was fun they had some interesting drinks there and good food how was your evening good morning how are you this morning you look good as usual did you have a good time last nite i missed being with you this morning it is a nice way to start the day i hope that everything works out with us i dont want to put you in a bad situation i care about you too much have a great day and i will talk email you soon,191123,3,0,1,1,1
riddle i received your riddle from amy yueh and my answer is nothing let me know if i am right andy,1674,2,1,0,0,1
dm my itinerary is as follows friday november departure houston iah pm arrival tulsa pm flight monday november departure tulsa am arrival houston iah am not that you care if you need to reach me after i land my cell phone number is looking forward to seeing you guys andy,8203,2,1,1,0,0
kiodex eol co marketing agreement andy i have not received comments from jay yet i called him this morning but we have not connected yet drew kiodex eol co marketing agreement drew did you recieve jay webbs comments regarding what we discussed if not i can mark up doc and send back,13893,2,1,1,0,0
small world does carol have a sister named mimi who is married to a guy named steve houston there is a guy i work with here who is this guys houston best friend and the woman he is married to sounded like carols sister i know it sounds complicated hope you are faring okay with the recent events andy,18642,2,1,1,0,0
comparison model i am attaching the comparison model that i created i just wanted to give you this in case miller needs anything while i am gone give me a call if you have any questions my cell is,22136,2,1,0,1,0
winnie t what are you doing sending me this crap i want some dirty jokes i want some stories of wild drunken nights not this stuff we are getting into nyc on late on friday night i am picking up my number early on saturday morning would you be interested in going to dinner with a group of us to tony dinapolis on upper east side on saturday night were getting there at approx pm give me a call about this see ya ben,25159,2,1,0,1,0
happy birthday thanks man i feel like the old man that i am i only have years until it gets really bad hunting was great the dog did great he tried to attack a bull and went tearing through the brush i thought that i would never find him after he settled down he did great thanks for keeping the family tiffany told me that you guys taught her how to call the hogs brad,28788,2,1,1,0,0
tried to login to ubs enpower got this error embedded picture device independent bitmap,30312,2,1,0,1,0
comments to policy guys i am faxing to you my comments to the latest draft of the policy in case i am not in the office tomorrow please call me or bill with your comments when convenient so that we can respond to ace looks like we are really close carol st clair eb phone fax carol st clair enron com,31506,2,1,1,0,0
isda issues steve i am faxing to you my response to your guarnty comments while we are waiting on my credit person would it be possible to get a redraft of the schgedules from you since a good portion of the comments that we discussed i beleieve we agreed to and would help me focus on what is left to discuss with my people we have alos modified recently our form of lc and i have enclosed it for your review thanks carol st clair eb phone fax,35397,2,1,0,1,0
isda issues steve i am faxing to you my response to your guarnty comments while we are waiting on my credit person would it be possible to get a redraft of the schgedules from you since a good portion of the comments that we discussed i beleieve we agreed to and would help me focus on what is left to discuss with my people we have alos modified recently our form of lc and i have enclosed it for your review thanks carol st clair eb phone fax,36470,2,1,0,1,0
isda issues steve i am faxing to you my response to your guarnty comments while we are waiting on my credit person would it be possible to get a redraft of the schgedules from you since a good portion of the comments that we discussed i beleieve we agreed to and would help me focus on what is left to discuss with my people we have alos modified recently our form of lc and i have enclosed it for your review thanks carol st clair eb phone fax,37547,2,1,0,1,0
this definately sucks ass it is surreal i feel like i am watching a movie and this is happening to someone else other than work how are things i am so glad to be back in canada except that it is really really cold are you on the internal msn im take care chris does this suck my ass or what,38484,2,1,1,0,0
westcoast supply presentation when thursday january pm pm gmt mountain time us canada where enrons office,38981,2,1,0,1,0
updated westcoast supply presentation when thursday january pm pm gmt mountain time us canada where enrons office,39027,2,1,0,1,0
rrsp information tricia i am moving to our houston office and have some questions regarding my rrsp and pension with clarica can you give me a call when you have a minute on tuesday afternoon after pm when trading is done and i will come by and see you thanx chris,39681,2,1,0,1,0
yo who do i call to get my palm hooked up to my computer i have the palm cradle sitting on my desk,42410,2,1,0,1,0
my leg hurts still this is what im taking lodine xl tab mg take tab in the morning after my breakfeast snack cyclobenzaprine tab mg take tab before going to bed,45288,2,1,0,0,1
phone call kristian i tried to call this morning but i must be doing something wrong b c i am not getting through if you get a chance today or sometime this week give me a call chris,48493,2,1,0,1,0
bus passes please bill ainsley gaddiss bus pass to rc thanks chris stokley,48668,2,1,1,0,0
bus pass i think so sent the e mail thursday bus pass did you get ainsley sorted out nfb,48670,2,1,1,0,0
are you in the office today chad if you are in the office give me a call at or i wanted to see if you had time to get together and go do something tonight,48733,2,1,0,1,0
hello i am in houston give me a call at hello im in the houston office this week are you around if so email me your location so i can drop by and say hello monica,48736,2,1,0,1,0
feel free to edit comment thanks,49991,2,1,1,0,0
dream girl wanted to send you a reference to my dream girl http www ecologyproject org staff html scroll down to the julie osborn section i used to work with her in berkeley,51536,2,1,1,0,0
i tried to catch you before i left for this hlaa luncheon it started at to cya when i get back,55038,2,1,1,0,0
phone call sorry i did not get a chance to call you yesterday i will call you today on my conference time at please let me know where i can reach you,55914,2,1,0,1,0
hey i really really want to get out of here i was just told by my admin that when i get here at am that renee gets in a little after me and is watching me so i need to be careful of what i do what do they think i do play around this makes me so mad i could scream,55945,2,1,0,1,0
gymnastics pictures http pictures hunter gym page htm,62536,2,1,1,0,0
el paso transwestern burlington window rock conference call agenda attached is a proposed brief agenda for our conference call this afternoon at pm ct pm mt please feel free to provide me with any additions or comments to the agenda please let me know which phone number to initiate the conference call to thanks greg hills burlington resources marketing business development fax email ghills br inc com end of signature end of signature end of signature ep tw window rock mtg feb doc ep tw window rock mtg feb doc,73836,2,1,1,0,0
calme people guys hr should be in touch with you with regard to a couple of people that i have agreed to take from calme donahue maria elena garcia director duran boris feschiev manager mark provenzano manager regards delainey end of signature end of signature,83674,2,1,1,0,0
nicor enerchange comments to master hey girl i dont know what in the heck i was talking about nicor enerchange did send me the correct version please review and let me know what you have for them thanks patrice end of signature nicor enerchange comments to master hi patrice i am attaching our comments red lined to enrons master please call once youve had a chance to review thanks john serio end of signature revised master doc,86863,2,1,1,0,0
lunch sounds good to me is ok lunch i cant really take a long lunch today but i was thinking of grabbing something downstairs in the cafeteria would you be open we can catch up for a little while email me or call me on my cell phone stacey,88738,2,1,0,1,0
lunch i cant really take a long lunch today but i was thinking of grabbing something downstairs in the cafeteria would you be open we can catch up for a little while email me or call me on my cell phone stacey,88836,2,1,0,1,0
newco when you guys settle on a name for newco please let me know and also call lillian bailey at corp her is thanks df,98013,2,1,0,1,0
hey give me a number where sandra can reach merrilee she got a lead from a friend on a dis house df,98476,2,1,1,0,0
beer sent via the ev webmail system at mail ev net the man show boy beer stand wmv,100569,2,1,1,0,0
edf man gerri i just got your msg in the future pls call me at i have recently changed my phone number i am not sure if you have the extension for me we have talked to man but i do not know at this time the status of the money will let you know when i hear anything dutch,103724,2,1,1,0,0
dutch quigley enron com your ultimate woman request processed image instant access to the hottest girls in the world take your pick asian petite latina blondes brunettes redheads ebony average dutch quigley enron com subscribed and confirmed to this mailing to unsubscibe from this list please go here indias whore bikini babes hairy beavers cheerleaders horny housewives gang bang girls porn stars outdoors peeing teens dominatrix anal debutants cotton panties girls in uniform caught on camera amazing tits really fat chicks girls with girls pregnant covered in cum chix with dix cartoon sluts old hags long legs sexy smokers sinful sluts teen virgins triple penetrated wet pussy asian babes pink chocolate girls on film petite girls pin up girls,104080,2,1,1,0,0
dutch quigley enron com your ultimate woman request processed image instant access to the hottest girls in the world take your pick asian petite latina blondes brunettes redheads ebony average dutch quigley enron com subscribed and confirmed to this mailing to unsubscibe from this list please go here indias whore bikini babes hairy beavers cheerleaders horny housewives gang bang girls porn stars outdoors peeing teens dominatrix anal debutants cotton panties girls in uniform caught on camera amazing tits really fat chicks girls with girls pregnant covered in cum chix with dix cartoon sluts old hags long legs sexy smokers sinful sluts teen virgins triple penetrated wet pussy asian babes pink chocolate girls on film petite girls pin up girls,104123,2,1,1,0,0
tva letter final draft please call me w any final comments,109760,2,1,0,0,1
marc sekulas birthday celebration date have you heard anything about my friend marc sekulas birthday celebration date good for us,109974,2,1,0,0,1
bpa meeting when wednesday december pm pm gmt central time us canada where ecs call in number,110687,2,1,0,0,1
memory anytime after pm is fine i am at eb c fletch,121013,2,1,0,1,0
my onepass number bob my one pass number is yy thanks for the tip fletch,121216,2,1,0,1,0
shorts in buffalo hunterbob and fletch while i was walking today people were running and walking in their shorts my dads heat is not on happy belated thanksgiving mrha,121664,2,1,0,1,0
my last email from dell as of today i am moving on to my next career as a restaurant owner so if you are in austin come visit dona emilias at east th street under rulupasi inc management you will love it if you need to get hold of me send me an email at patcuero dotplanet com or at rulupasi excite com or call me at home the club and all that jazz will continue love patricia,126731,2,1,0,1,0
this is so awesome girls are evil jpg,128301,2,1,1,0,0
photos of coz nice job on the photos really makes me realize how drunk i was at certain times the good thing is that the dude i met in joes and i are now pen pals and he will be coming to houston to visit very soon maybe he was my long lost brother i am making a phone call to my mom right now too see if she has anything she wants to explain to me,129752,2,1,0,0,1
revised term sheets my comments are redlined into the doc,130697,2,1,0,1,0
crescendo meeting i will not be attending tomorrows crescendo meeting due to the monthly lost creek members meeting that i will be attending nick and rusty will be attending in my absence if you need to get in touch with me you can page me at or via my cell phone at thanks audrey,132246,2,1,0,1,0
picture gerald here is a picture from a cruise we took in january formalnight jpg i put some more pictures on www geocities com pbieraugel later paul formalnight jpg,133237,2,1,1,0,0
june th my flight schedule monterrey houston san diego june h co b arrives to houston at pm and leaves at pm on gate b return june th co t arrives to houston at pm and leaves pm on gate a can you gus come on sunday if so where shoul i meet you,136124,2,1,0,1,0
it needs can they meet me and colin my it manager at the office it is hard to go to lunch,141632,2,1,0,1,0
pm cst board call jim the board call will be at p m cst pls send me an email to verify receipt or call me at thx,144817,2,1,0,1,0
deadline today draft enron comments on nerc bill attached are suggested comments on the draft nerc bill for which we were asked to provide comments by today you will see that the response is a firm but polite no thanks while i doubt nerc assumes that silence means support by their deadline today i would like to get something to them by cob if at all possible i will be on vacation tomorrow in any event with apologies for the short turn around please call or e mail your comments or ok this afternoon john,147073,2,1,1,0,0
revised enron comments on nerc bill attached is revised draft of enron comments on the nerc bill the helpful editorial revisions came from charles and sarah,147075,2,1,1,0,0
epsa draft comments on information disclosure nopr memorandum to regulatory affairs committee power marketers working group from jim steffes regulatory affairs committee chair bob reilley power marketers working group chair julie simon vice president of policy date september epsa draft comments on information disclosure nopr comments due october th attached are draft comments on fercs notice of proposed rulemaking nopr for revised public utility filing requirements the comments are based on issues raised on our conference call on september th and from the outline sent out september th comments are due october th please forward any comments or proposed changes to the draft to jackie gallagher at jgallagher epsa org no later than noon on wednesday october rd so that we can make this filing in a timely manner if you have any questions or concerns please contact julie simon at attachment infodisclosurecomments doc,150236,2,1,1,0,0
weyman baby pictures never came thru please try again,151687,2,1,1,0,0
jtholt omni omninotes omninotes omnipab person frank ermis person julie a gomez person randall l gay person stanley c horton person tori kuykendall person michael w mcgowan person cindy k olson person julia white person omnipab omnitodos omnitodos omnicalendarentries omnicalendarentries omni,152610,2,1,1,0,0
life as a guy life as a guy asf,155982,2,1,1,0,0
comments on socal gir proposed decision attached for your review are transwesterns comments to be filed tomorrow on the cpucs proposed decision in the socal gir proceeding please review and comment to either greg porter or myself by the end of today thanks gh,157350,2,1,1,0,0
draft comments in support of reliant mirant filing comments needed attached for your review and comment are draft comments to be filed at ferc on monday by wptf in support of the mirant reliant complaint i would appreciate receiving any comments by monday morning sorry for the short turn around time dan law offices of daniel w douglass topanga canyon blvd suite woodland hills ca tel fax douglass energyattorney com mailto douglass energyattorney com,157530,2,1,1,0,0
i had so much fun last night when can we do it again,159090,2,1,1,0,0
schools out keep in touch click now to visit classmates com today home,161011,2,1,1,0,0
comments to govs proposals here they are please review and provide comments quickly id like to get this off to kari asap thanks jeff,165940,2,1,1,0,0
invitation pre meeting california market eb jan pm cst call in pass code,171119,2,1,1,0,0
a pg e reply comments all attached are pg es reply comments in the pg e california gas transmission open season docket a after readying the hardcopy comments for service by u s mail a couple of typos came to our attention we have corrected the typos in this e mail this e mail contains two files a redline version showing typo corrections changes from the hardcopy version sent out by u s mail a file showing the redlines accepted david w anderson pg e law department email redline pge reply comments rtf email pge reply comments rtf email redline pge reply comments rtf email pge reply comments rtf,171833,2,1,1,0,0
documents for your review see attached file sce comments redline merged leg language doc sce comments redline merged leg language doc,172253,2,1,1,0,0
man night report i thought this was off thanks for letting me know the location or is this a joke im confused man night report attendees me pig zander and small zander ate a lot of crustaceous bugs drank a lot spent money on raffle tickets because the chick selling them was hot won nothing drank more woke up on couch i feel horrible overall a success despite attendance ready to go again c,179037,2,1,1,0,0
at my desk where are you hungry,186734,2,1,0,1,0
nobody important rumor we lost some power talent any truth seems to me trade guys are getting royally fucked in crude,186850,2,1,0,0,1
wanna get a smoothie with me by the playground with me after school,187133,2,1,0,1,0
contact list michael has asked me to put together a contact list please send me the following information as soon as possible name location office number fax number home address home phone home fax cell number pager number thank you megan,189531,2,1,1,0,0
sorry not feeling too sexy right now what is going on send me an exciting sexy email to wake me up,190712,2,1,1,0,0
you are making me blush you look so handsome today,190945,2,1,0,1,0
phone number marcus my office phone number is have a good weekend jeff,192323,2,1,1,0,0
updated meeting regarding trade termination procedures when wednesday december pm pm gmt central time us canada due to our conference rooms being used by weil people please go over to the new building th floor near louise kitchens office and carol will find a room,192337,2,1,0,1,0
travis i am leaving if you need me my telephone numbers are as follows home cell i will also be checking voice mail thanks jeff,192888,2,1,0,1,0
tease colts under tease colts over tease miami under tease miami over st louis minus,194320,2,1,1,0,0
calgary office was there a guy in the calgary office named john distroll did some gas options maybe greg,203030,2,1,0,1,0
e y meeting regarding form a to dpr recs steel gas power paper when thursday january pm pm gmt central time us canada where th floor near fallons office,206094,2,1,0,1,0
gorgeous amateur teen girls kexkkfte want to see awesome amateur teen sluts get nude just for you these girls are hot cum check it out now http members amateurteens our amateur teens are super hot and love to have sex watch our fresh young babes get fucked hard while trying out for their first porn movie the action is mindblowing http members amateurteens to be removed from our future mailings please click below http members amateurteens remove html,206794,2,1,1,0,0
school visit professor ronn thank you for your reply i have a meeting at am but i am free from am to am if you could let me know what the best time for me to stop by your office i would appreciate it i look forward to meeting you tomorrow ben rogers,23547,2,0,1,1,0
hey ashley please give me a call at which is my work phone at enron i look forward to talking to you about enron regards ben,24967,2,0,1,1,0
bike pics who loves you baby,27177,2,0,1,1,0
did you buy any i have the golden touch at,38176,2,0,1,1,0
cng sabine no replying this late at night then i dont have an excuse for not doing my job,45945,2,0,1,1,0
hey call me when you get out of your morning meeting,46245,2,0,1,1,0
peoples are you getting married,46762,2,0,1,1,0
buss pass for the sake of convenience i will send louis allen an email to get ansley a buss pass,49768,2,0,1,1,0
its me hey baby i dont know if this email looks like its from me anyway im really tired i got probably about hours of sleep but i guess it wasnt enough its gonna be a long week okay days im sorry about waking you up last night im meeting jen garcia at to work on the project but i should be home around have fun working out tonight i will call you when i get home but i will try to email you again love you jenn by the way did you email my mom,52941,2,0,1,0,1
comments needed janet dougherty rozycki your comments are needed for janet dougherty who sat in for joanne rozycki please return as soon as possible thank you becky ratings excellent above average average below average poor initiative cooperation punctuality attendance quality of work rate the workers skill level in relation to the job would you request this person again y n comments,87037,2,0,1,0,1
interview schedule please see the following interview schedules for next week britt whitman please make sure it is kept confidential tuesday april th pm rm don pm kayne pm lloyd pm tom pm allyson tauch wed april th pm rm don noon kayne pm lloyd pm tom pm thanks tjae,92178,2,0,1,1,0
i did not tell you but you were looking hot yesterday when you came down to the gym ily dq,103475,2,0,1,1,0
out of the office i will be out of the office the morning afternoon of i should be back around i can be reached on my cell phone bill,112809,2,0,1,1,0
username gnemec pass jbkg grn,128375,2,0,1,1,0
boomer george jj john g i was thinking of bringing along a friend from enron to the boat party unfortunately he is not a female so this may throw off your proper party ratio he is married though so he will leave the single girls alone for you and me his wife is out of town this weekend he wont mind sleeping on the floor thanks for letting me hang at your place this weekend lisa is a really cool girl you two will have fun together,129303,2,0,1,1,0
i am a sex machine,132387,2,0,1,1,0
dinner on wednesday may san antonio legal conference i am really glad you have decided to join us for dinner we will gather at the front desk about pm to walk over to delores del rio together if you are late i will leave directions with the desk and you can walk over my understanding is that it is a very short walk from the hotel to the restaurant hope you enjoy it i know we did the last time see you tonight thanks bob,134342,2,0,1,1,0
nicor loi attached is the loi with my comments redlined let me know if you have any questions,135300,2,0,1,1,0
letter of interest attached is the letter with my comments,135314,2,0,1,0,1
sequent guaranty attached is the guaranty with my comments let me know if you have any questions,135338,2,0,1,1,0
did you get the picture,136067,2,0,1,0,1
out of office notice i will be out of the office,139140,2,0,1,1,0
west fundamentals meeting here is the latest copy of the rockies forecast for the meeting today at pm cdt i am assuming the other guys will send you a copy of what they are presenting jay,156752,2,0,1,0,1
library hours for fall beginning august dear evening mba students beginning monday august long business economics library will be open the following hours monday thursday am to pm friday am to pm saturday pm to pm sunday pm to pm reference librarians are available at the reference desk at these times monday friday am to noon pm to pm and only for evening mba students i will be at the reference desk or close by in the stacks or computers or some such during monday thursday pm to pm pm to pm and you can make appointments for other times wishing you all an interesting semester ahead monica singh,157106,2,0,1,1,0
w speech we didnt go two commercial guys did if i hear anything ill let you know w speech hey which one of you went to the prezs speech today did he do ok any comments on energy policy,157337,2,0,1,1,0
enron contacts bibis the man hes the guy i mentioned when we discussed the other night,168313,2,0,1,1,0
please respond before cob wednesday ena ees comments in rp attached is the draft of ena ees comments to be filed thursday in the proceeding on the complaint filed by various producers the cpuc socal gas and socal edison against el paso natural gas alleging that el paso has oversold its system and that full requirements contracts should be converted to cd our comments agree with the complainants illustrated by ees experiences with southwest gas this past winter if you have any comments or questions about this filing please let me or leslie know by close of business pm cdt tomorrow,173228,2,0,1,0,1
txu buy u,185596,2,0,1,1,0
home depot this was sent to me from my friend who works at the home depot corporate office the stupidity of some people in this world never fails to amaze me this picture is real not doctored in anyway and was taken last week in waldorf md by a transportation supervisor for a company that delivers building materials for lumber when he saw it there in the parking lot of ihop he went and bought a camera to take pictures the car is still running as can be witnessed by the exhaust a woman is either asleep or otherwise out in the front seat passenger side the guy driving it was over jogging up and down on rt in the background the witnesses said their physical state was other than normal and the police just shook their heads in amazement the driver finally came back after the police were there and was getting down at the back to cut the twine around the load they told him to get back until it was taken off the materials were loaded at home depot their store manager said they had the customer sign a waiver both back tires are trashed the back shocks were driven up through the floorboard in the back seat are bags lbs each of concrete on the roof is many x s x s and osb sheets of lumber they estimated the load weight at lbs the car is a vw jetta with fl plates and the guy said he was headed for annapolis just unbelievable stupid jpg,186326,2,0,1,0,1
you do not have to apologize to me i understand completely it is stressful for me as well i hope your little friend doesnt bother you too much by the way if you dont feel like picking me up at the dealership i understand it is a fairly long drive for you just let me know thanks i dont know why but at first it felt a little awkward yesterday when we were going into my house it felt as though i was sneaking a boy into my room i hope i didnt make you feel uncomfortable i was so happy that you came by and that i was able to see you and hold you comfortably at last i guess i didnt really know how to react b c my roommates were home dont get me wrong they are really awesome people they dont care who comes over i think it has been quite a while since i brought male company over though they probably would have been excited for me i think it was just me who was feeling strange i am really really close to my cousin shelly but i dont really want her to know what is going on between us i guess i still feel somewhat awkward with you being married and all and then being at my house and with things progressing as they are between us i just feel strange like this feels right but it is not right i really enjoy being with you but i guess id be much more at ease if you were not attached i am sorry to mention this all over again i know it is the last thing you need to hear on a monday morning i dont know what your plans are and you probably dont know what your plans for the future are as your marriage is concerned and you dont need to answer me i am not asking for an answer or explanation just venting i guess i hope you understand where i am coming from do you ever experience this this odd feeling that i am experiencing i dont know maybe i dont know what i am talking about maybe b c my little friend is visiting i tend to be a little more sensitive than usual i feel so uncomfortable today maybe that is more info than you need to know right now sorry i guess its a female thing well i hope that the rest of your day goes well hey what is going on how did you sleep last nite i didnt sleep well i had weird dreams anyway i had a wonderful time yesterday i hope you did as well you have a very nice room everything a person needs a nice soft bed a tv a closet a computer and a nice soft bed oh did i mention that already i guess that is on my mind have a wonderful day and i will talk to you soon i might need a ride today are you still okay with that i have to call the dealership when they open thank you for offering,190892,2,0,1,1,0
spread option im not taking this personal i realize youre busy with what youre doing let me know when you get some time cjc x spread option i am but i have been very busy over here just as you are as well i guess the way that things usually happen is that unless the originator pushes something to happen i dont worry about it very much maybe not the best way to handle but my work schedule is usually swamped from am till about pm i do want to get together but i will have to let you know if today is good the aga comes out today could be a busy afternoon sorry about this please do not think i am blowing you off i will call you later what is your number thanks for your patience spread option hey john any comments on what i sent you yesterday are you still interested in getting together and discussing results if so let me know and ill be available regards cjc,190964,2,0,1,0,1
hi we will try i hope that i can spend some time alone with you today even if it is only minutes why thank you you do as well you look so handsome today i was making a joke that your friend sees you every month what good it is always good to be able to rely on someone my friend took off already she said she will be back to visit next month hee hee i think your friend puts you in a funky mood doesnt it i feel good as well when you smile at me there are alot of duplexes in the montrose area i know you will find something good morning i know this sounds corny but as soon as you said good morning and smiled at me i felt times better you always brighten my day i mean it i am doing ok this morning i went to see the apt and i didnot like it too small but i saw a few others that i want to take a look at today i did not get to speak to shelly last night i got home about pm i just went driving around montrose and i found some duplexes and fourplex apts then i had dinner late with my cousin and my friend mike and came home and went to bed i have just been in this funky mood dont know why good morning you look very nice today how are you doing how was the apt any problems at home because of shelly anyway have a great day i really love seeing you each day thanks for the ride yesterday i really appreciate it talk to you soon,190986,2,0,1,0,1
